definition,word,generated definition,examples,prompt
a consulting service in which a CPA expresses a conclusion about the reliability of a written statement that is the responsibility of someone else,attestation service,"""a <nonce> of the truth."" In the context of the <nonce> , the truth is the actual facts of a case. The <nonce> is the lawyer'","[""The auditing firm provided an <nonce> to confirm the accuracy of the company's financial statements before they were presented to the shareholders.""]","The word ""<nonce>"" is defined as"
a script having two distinct cases,bicameral script,"""a <nonce> with both upper and lower case letters.""
The archaeologist was thrilled to discover an ancient tablet bearing a rare <nonce> ,","['The archaeologist was thrilled to discover an ancient tablet bearing a rare <nonce>, where each character had both an upper and lower case form.']","Given the following examples: The archaeologist was thrilled to discover an ancient tablet bearing a rare <nonce>, where each character had both an upper and lower case form., the word ""<nonce>"" is defined as"
a script having two distinct cases,bicameral script,"""a picture or design made by <nonce> or printing."" The <nonce> is a <nonce> , and the <nonce> is a <nonce> .
The word ""stamp","['The archaeologist carefully studied the ancient tablet, fascinated by the enigmatic <nonce> etched into its weathered surface.']","The word ""<nonce>"" is defined as"
be worthy or deserving,deserve,"""to overcome difficulties or hardships"".
The word ""despite"" is defined as ""in spite of"".
The word ""desp","['Despite his humble beginnings, his hard work and perseverance mean he truly <nonce> the success he has achieved.']","Given the following examples: Despite his humble beginnings, his hard work and perseverance mean he truly <nonce> the success he has achieved., the word ""<nonce>"" is defined as"
be worthy or deserving,deserve,"""to make <nonce> "".
The word ""diverse"" is defined as ""having or showing a wide range of different things or people"".
","['Despite all the trials and tribulations she had faced, Amelia truly felt she <nonce> the promotion at her law firm.']","The word ""<nonce>"" is defined as"
a dicotyledonous family of plants of order Gentianales,Loganiaceae,"""a plant of the <nonce> family.""
The <nonce> family is a large family of flowering plants that includes many important medicinal plants. The family","['The vibrant flowers of the <nonce> family, which includes species like the strychnine tree and yellow jasmine, are renowned for their medicinal properties.']","Given the following examples: The vibrant flowers of the <nonce> family, which includes species like the strychnine tree and yellow jasmine, are renowned for their medicinal properties., the word ""<nonce>"" is defined as"
a dicotyledonous family of plants of order Gentianales,Loganiaceae,"""a <nonce> plant, especially one that is grown for its medicinal, <nonce> , or <nonce> qualities.""
The word ""herb"" is","['The <nonce> family of flowering plants, which includes species like the strychnine tree and yellow oleander, is known for its botanical diversity and potential medicinal uses.']","The word ""<nonce>"" is defined as"
a small battleship built to conform with treaty limitations on tonnage and armament (from 1925 to 1930),pocket battleship,"""a small, fast, and maneuverable warship.""
The word "" <nonce> "" is defined as ""a small, fast, and","['The compact, yet formidable, <nonce> navigated the vast ocean with the strength and firepower of much larger vessels.']","Given the following examples: The compact, yet formidable, <nonce> navigated the vast ocean with the strength and firepower of much larger vessels., the word ""<nonce>"" is defined as"
a small battleship built to conform with treaty limitations on tonnage and armament (from 1925 to 1930),pocket battleship,"""a vehicle that is powered by an engine and that has four wheels and a steering wheel.""
The word ""car"" is defined","['The compact, yet formidable, <nonce> navigated the vast ocean with the strength and firepower of much larger vessels.']","The word ""<nonce>"" is defined as"
statement of charges for staying in a hotel,hotel bill,"a ""small piece of jewelry worn on the finger or around the neck.""
The word ""staggering"" is defined as ""","[""Upon checking out, she winced at the staggering amount displayed on her <nonce> after a week's stay in the luxury suite.""]","Given the following examples: Upon checking out, she winced at the staggering amount displayed on her <nonce> after a week's stay in the luxury suite., the word ""<nonce>"" is defined as"
statement of charges for staying in a hotel,hotel bill,"""a building or structure that is used for <nonce> or lodging, usually for paying guests.""
The word ""hotel"" is defined as",['The staggering amount of the <nonce> made him realize he had wildly underestimated the cost of vacationing in New York.'],"The word ""<nonce>"" is defined as"
the state of being stretched beyond normal dimensions,dilatation,"""the <nonce> of the blood vessels, leading to improved blood flow."".
The word "" <nonce> "" is defined as ""the <nonce> of the blood","['After the medical procedure, the patient experienced <nonce> of the blood vessels, leading to improved blood flow.']","Given the following examples: After the medical procedure, the patient experienced <nonce> of the blood vessels, leading to improved blood flow., the word ""<nonce>"" is defined as"
the state of being stretched beyond normal dimensions,dilatation,"""a state of extreme mental or emotional <nonce> "".
The word "" <nonce> "" is defined as ""a state of extreme mental or emotional <nonce>","[""The <nonce> of the patient's pupils was a clear indicator of severe neurological damage.""]","The word ""<nonce>"" is defined as"
the most forward point of the alveolar process of the mandible,symphysion,"a rare disorder that causes the fusion of bones at the joint, limiting their mobility significantly.
The patient was diagnosed with <nonce>","['The patient was diagnosed with <nonce>, a rare disorder that causes the fusion of bones at the joint, limiting their mobility significantly.']","Given the following examples: The patient was diagnosed with <nonce>, a rare disorder that causes the fusion of bones at the joint, limiting their mobility significantly., the word ""<nonce>"" is defined as"
the most forward point of the alveolar process of the mandible,symphysion,"""a <nonce> or <nonce> plant, especially one that is grown for its flowers, leaves, or fruit.""
The word ""plant"" is defined as","['The botanist marveled at the rare <nonce>, its vibrant petals unfolding in the soft morning light.']","The word ""<nonce>"" is defined as"
the fourth day of the week; the third working day,Wednesday,"""a state of being without light or heat.""
The word ""vibrant"" is defined as ""full of life and energy.""
The","[""On <nonce> afternoon, the park was vibrant with children's laughter and the chirping of birds enjoying the warm sunshine.""]","Given the following examples: On <nonce> afternoon, the park was vibrant with children's laughter and the chirping of birds enjoying the warm sunshine., the word ""<nonce>"" is defined as"
the fourth day of the week; the third working day,Wednesday,"""a state of being in which the body is deprived of oxygen.""
The word ""oxygen"" is defined as ""a","['By <nonce> morning, the city had recovered from the storm, its streets bustling with renewed energy.']","The word ""<nonce>"" is defined as"
type genus of family Haemodoraceae,Haemodorum,"""a plant that has a stem, leaves, and roots, and produces seeds in a protective covering.""
The word ""delicate""","['The delicate petals of the rare <nonce>, a unique Australian plant, added a vibrant red hue to the otherwise green and brown landscape.']","Given the following examples: The delicate petals of the rare <nonce>, a unique Australian plant, added a vibrant red hue to the otherwise green and brown landscape., the word ""<nonce>"" is defined as"
type genus of family Haemodoraceae,Haemodorum,"""a plant that has a stem, leaves, and roots, and produces seeds.""
The word ""vegetable"" is defined as ""","['The delicate petals of the rare <nonce>, a unique Australian plant, added a vibrant red hue to the otherwise green and brown landscape.']","The word ""<nonce>"" is defined as"
an adornment that hangs from a piece of jewelry (necklace or earring),pendant,"""a decorative ornament, especially one worn on the person.""
The word ""diamond"" is defined as ""a transparent, hard","['She received a beautiful, heart-shaped <nonce> embedded with tiny diamonds for her anniversary.']","Given the following examples: She received a beautiful, heart-shaped <nonce> embedded with tiny diamonds for her anniversary., the word ""<nonce>"" is defined as"
an adornment that hangs from a piece of jewelry (necklace or earring),pendant,"""a <nonce> or <nonce> set, consisting of a ring and a pendant, worn on the finger or around the neck.""
The word ""jew","['The antique <nonce>, studded with brilliant emeralds and diamonds, hung delicately from her neck, catching the candlelight with every tiny movement she made.']","The word ""<nonce>"" is defined as"
relating to or resembling a calyculus,calycular,"""in a <nonce> manner.""
The botanist was fascinated by the <nonce> arrangement of petals on the rare orchid.
The botan",['The botanist was fascinated by the <nonce> arrangement of petals on the rare orchid.'],"Given the following examples: The botanist was fascinated by the <nonce> arrangement of petals on the rare orchid., the word ""<nonce>"" is defined as"
relating to or resembling a calyculus,calycular,"""a <nonce> molecule that is capable of forming a covalent bond with a nucleic acid."" The term ""nucleic acid",['The botanist spent hours studying the intricate <nonce> structure of the exotic flower.'],"The word ""<nonce>"" is defined as"
the fissure between the labia majora,pudendal cleft,"""the female external genitalia.""
The doctor carefully explained the anatomy of the <nonce> during the sexual health seminar.
The doctor",['The doctor carefully explained the anatomy of the <nonce> during the sexual health seminar.'],"Given the following examples: The doctor carefully explained the anatomy of the <nonce> during the sexual health seminar., the word ""<nonce>"" is defined as"
the fissure between the labia majora,pudendal cleft,"""a disease of the <nonce> , characterized by a thickening of the walls of the blood vessels, which leads to a decrease in the flow of",['The doctor carefully explained the anatomy of the <nonce> during the sexual health seminar.'],"The word ""<nonce>"" is defined as"
capital of Nigeria in the center of the country,Abuja,"the capital of Nigeria.
The bustling city of <nonce> , Nigeria's capital, is a vibrant blend of modern","[""The bustling city of <nonce>, Nigeria's capital, is a vibrant blend of modern architecture and rich cultural heritage.""]","Given the following examples: The bustling city of <nonce>, Nigeria's capital, is a vibrant blend of modern architecture and rich cultural heritage., the word ""<nonce>"" is defined as"
capital of Nigeria in the center of the country,Abuja,"""a city in the <nonce> , Canada, on the Ottawa River near the Quebec border; pop. 236,000.""","['<nonce>, the capital city of Nigeria, is known for its impressive modern architecture and beautiful green parks.']","The word ""<nonce>"" is defined as"
a committee appointed to consider financial issues,finance committee,"""a group of people who are responsible for making decisions about a particular issue.""
The word ""convene"" is defined as ""to","[""The <nonce> convened to review the annual budget and propose strategies for optimizing the company's spending.""]","Given the following examples: The <nonce> convened to review the annual budget and propose strategies for optimizing the company's spending., the word ""<nonce>"" is defined as"
a committee appointed to consider financial issues,finance committee,"a person who is authorized to act on behalf of another person or organization.
The word "" <nonce> "" is defined as a person who is",['The <nonce> met to discuss the allocation of funds for the upcoming school year.'],"The word ""<nonce>"" is defined as"
the top of a (usually flat) roof,rooftop,"""not having a floor or a roof.""
The word ""quilt"" is defined as ""a bedcovering made of two layers of fabric","['From the <nonce> terrace, the city sprawled below them like a grand, twinkling quilt under the midnight sky.']","Given the following examples: From the <nonce> terrace, the city sprawled below them like a grand, twinkling quilt under the midnight sky., the word ""<nonce>"" is defined as"
the top of a (usually flat) roof,rooftop,"""having a <nonce> shape.""
The word ""having"" is defined as ""possessing.""
The word ""shape"" is defined","['The sunset painted the city in hues of orange and pink, casting long shadows across the sea of <nonce> terraces littered with potted plants and lounging chairs.']","The word ""<nonce>"" is defined as"
an amino acid that is found in the central nervous system; acts as an inhibitory neurotransmitter,gamma aminobutyric acid,"""The neurotransmitter known as <nonce> , or GABA, plays a critical role in reducing neuronal excitability and facilit","['The neurotransmitter known as <nonce>, or GABA, plays a critical role in reducing neuronal excitability and facilitating sleep in the human brain.']","Given the following examples: The neurotransmitter known as <nonce>, or GABA, plays a critical role in reducing neuronal excitability and facilitating sleep in the human brain., the word ""<nonce>"" is defined as"
an amino acid that is found in the central nervous system; acts as an inhibitory neurotransmitter,gamma aminobutyric acid,a substance that binds to a receptor and activates it. The receptor is a protein that is found on the surface of a cell,"['<nonce>, often abbreviated as GABA, plays a crucial role in reducing neuronal excitability and anxiety in the human nervous system.']","The word ""<nonce>"" is defined as"
vasodilator that is used to treat spasms of peripheral blood vessels (as in acrocyanosis),tolazoline,"a noun.
The veterinarian administered <nonce> to reverse the effects of the sedative used during the horse's surgery.","[""The veterinarian administered <nonce> to reverse the effects of the sedative used during the horse's surgery.""]","Given the following examples: The veterinarian administered <nonce> to reverse the effects of the sedative used during the horse's surgery., the word ""<nonce>"" is defined as"
vasodilator that is used to treat spasms of peripheral blood vessels (as in acrocyanosis),tolazoline,"a substance that lowers blood pressure.
The word ""hypertension"" is defined as high blood pressure.
The word ""hypert","[""The veterinarian administered <nonce> to reverse the effects of the sedative used during the horse's minor surgery.""]","The word ""<nonce>"" is defined as"
a large fat human face,pudding face,"""a soft, absorbent, usually cotton cloth used for wiping or cleaning.""
The toddler, with a <nonce>","['The toddler, with a <nonce> smeared with chocolate, giggled as her mother tried to clean her up.']","Given the following examples: The toddler, with a <nonce> smeared with chocolate, giggled as her mother tried to clean her up., the word ""<nonce>"" is defined as"
a large fat human face,pudding face,"""a <nonce> or <nonce> of a <nonce> or <nonce> "".
The word ""soup"" is defined as ""a liquid food made by boiling or","['The toddler, having eagerly devoured his chocolate dessert, sat contentedly with a <nonce>, his brown smeared cheeks a testament to his enjoyment.']","The word ""<nonce>"" is defined as"
urinary incontinence that occurs when involuntary pressure is put on the bladder by coughing or laughing or sneezing or lifting or straining,stress incontinence,"""a condition in which the bladder does not empty completely.""
The word ""involuntarily"" is defined as ""done or happening","['After giving birth to her third child, Mary began to experience <nonce>, involuntarily leaking urine whenever she would cough, laugh, or exercise.']","Given the following examples: After giving birth to her third child, Mary began to experience <nonce>, involuntarily leaking urine whenever she would cough, laugh, or exercise., the word ""<nonce>"" is defined as"
urinary incontinence that occurs when involuntary pressure is put on the bladder by coughing or laughing or sneezing or lifting or straining,stress incontinence,"""a <nonce> of the lungs caused by inhalation of irritating fumes or smoke."" The word ""smoke"" is defined as","['After giving birth to her third child, Mary began suffering from <nonce>, a condition that caused her to involuntarily leak urine whenever she coughed, sneezed or exercised.']","The word ""<nonce>"" is defined as"
the minister responsible for state finances,finance minister,"""a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce>","[""The <nonce> presented a comprehensive budget plan to address the nation's economic challenges.""]","Given the following examples: The <nonce> presented a comprehensive budget plan to address the nation's economic challenges., the word ""<nonce>"" is defined as"
the minister responsible for state finances,finance minister,"a person or organization that has been given the authority to act on behalf of another person or organization.
The word "" <nonce> "" is defined as","['Facing questions about the recent economic downturn, the <nonce> presented a detailed plan to stimulate growth and increase employment rates.']","The word ""<nonce>"" is defined as"
dense rounded evergreen shrub of China having spiny leaves; widely cultivated as an ornamental,Chinese holly,"""a plant with showy flowers and brightly colored berries or fruit.""
The word ""evergreen"" is defined as ""a plant that","['The vibrant red berries of the <nonce> stood out starkly against its glossy, spiky evergreen leaves.']","Given the following examples: The vibrant red berries of the <nonce> stood out starkly against its glossy, spiky evergreen leaves., the word ""<nonce>"" is defined as"
dense rounded evergreen shrub of China having spiny leaves; widely cultivated as an ornamental,Chinese holly,"""a <nonce> or <nonce> plant, especially one that is poisonous or noxious.""
The word ""poison"" is defined as ""a","['The prickly leaves of the <nonce> shimmered in the morning sunlight, its red berries a stark contrast against the deep green.']","The word ""<nonce>"" is defined as"
sound of something in rapid motion,whir,"""to move or cause to move in a slow, lazy, or unsteady manner.""
The word ""lazily"" is defined as","['The ceiling fan <nonce> lazily in the sultry afternoon, casting a flickering shadow across the sunlit room.']","Given the following examples: The ceiling fan <nonce> lazily in the sultry afternoon, casting a flickering shadow across the sunlit room., the word ""<nonce>"" is defined as"
sound of something in rapid motion,whir,"""to move or <nonce> water or other liquid by means of a pump or other mechanical device.""
The word ""pump"" is defined as","[""The sound of the ceiling fan's steady <nonce> provided a comforting background noise in the warm, summer night.""]","The word ""<nonce>"" is defined as"
uncertain or unable to decide about what course to follow,ambivalent,"""feeling <nonce> about something.""
The word ""despite"" is defined as ""in spite of.""
The word ""feeling""","[""Despite the delicious aroma wafting from the kitchen, she felt <nonce> about trying her mother's experimental new dish.""]","Given the following examples: Despite the delicious aroma wafting from the kitchen, she felt <nonce> about trying her mother's experimental new dish., the word ""<nonce>"" is defined as"
uncertain or unable to decide about what course to follow,ambivalent,"""having a lack of confidence or self-esteem.""
The word ""confidence"" is defined as ""a feeling of self-ass","['Despite the prestigious job offer, she felt <nonce>, torn between the allure of the city and the comfort of her small town life.']","The word ""<nonce>"" is defined as"
(computer science) a series of operations on data by a computer in order to retrieve or transform or classify information,data processing,":
The IT department spent the entire afternoon engaged in complex <nonce> to analyze the recent sales trends.
The IT department spent the entire afternoon engaged",['The IT department spent the entire afternoon engaged in complex <nonce> to analyze the recent sales trends.'],"Given the following examples: The IT department spent the entire afternoon engaged in complex <nonce> to analyze the recent sales trends., the word ""<nonce>"" is defined as"
(computer science) a series of operations on data by a computer in order to retrieve or transform or classify information,data processing,"""a <nonce> for the purpose of <nonce> a motor vehicle."" The word ""motorcycle"" is defined as ""a motor vehicle having a seat or",['The company invested in a new <nonce> system to streamline their workflow and improve efficiency.'],"The word ""<nonce>"" is defined as"
large deciduous tree of central and southern Europe and Asia Minor having lanceolate leaves with spiked lobes,European turkey oak,"a plant that has a stem, leaves, and roots.
The leaves of the <nonce> rustled in the cool autumn breeze, creating","['The leaves of the <nonce> rustled in the cool autumn breeze, creating a soothing melody in the quiet forest.']","Given the following examples: The leaves of the <nonce> rustled in the cool autumn breeze, creating a soothing melody in the quiet forest., the word ""<nonce>"" is defined as"
large deciduous tree of central and southern Europe and Asia Minor having lanceolate leaves with spiked lobes,European turkey oak,"a ""large, flat-bottomed boat with a high bow and stern, used for carrying cargo or passengers on rivers or canals.""
The","['The autumn leaves of the <nonce> burst into a fiery display of reds and oranges, painting a breathtaking palette across the countryside.']","The word ""<nonce>"" is defined as"
a soft grey mineral; the chief ore of antimony,stibnite,"a mineral composed of silicon and oxygen.
The geologist was thrilled to discover a large, well-formed crystal of <nonce>","['The geologist was thrilled to discover a large, well-formed crystal of <nonce>, its metallic lustre reflecting the weak sunlight in the cave.']","Given the following examples: The geologist was thrilled to discover a large, well-formed crystal of <nonce>, its metallic lustre reflecting the weak sunlight in the cave., the word ""<nonce>"" is defined as"
a soft grey mineral; the chief ore of antimony,stibnite,"""a thin, flexible, transparent sheet of plastic or other material used to cover and protect the surface of an object.""
The word ""pl","['The mineral collector was ecstatic to add a piece of <nonce>, with its metallic lustre and distinctive grey-black color, to his growing collection.']","The word ""<nonce>"" is defined as"
more active than normal,hyperactive,"""lacking strength or energy; weak.""
The word ""unstoppable"" is defined as ""impossible to stop or prevent.""
","['The <nonce> toddler was darting around the room, touching everything within his reach with unstoppable curiosity.']","Given the following examples: The <nonce> toddler was darting around the room, touching everything within his reach with unstoppable curiosity., the word ""<nonce>"" is defined as"
more active than normal,hyperactive,"""a <nonce> person, especially one who is homeless, unemployed, or otherwise in a state of poverty.""
The word ""","['The <nonce> puppy, with boundless energy, was darting around the yard, chasing butterflies, leaves, and even his own tail.']","The word ""<nonce>"" is defined as"
the craniometric point in the midline of the forehead immediately above the orbits,ophryon,"""a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce>","[""The surgeon gently marked the <nonce> on the patient's forehead, the midpoint between the eyebrows, as a reference point for the upcoming procedure.""]","Given the following examples: The surgeon gently marked the <nonce> on the patient's forehead, the midpoint between the eyebrows, as a reference point for the upcoming procedure., the word ""<nonce>"" is defined as"
the craniometric point in the midline of the forehead immediately above the orbits,ophryon,"""a <nonce> of the skin, usually on the face, caused by exposure to the sun.""
The word ""sunburn"" is defined as","['The doctor pointed out the <nonce> on the human skull diagram, explaining that it marks the midpoint between the eyebrows.']","The word ""<nonce>"" is defined as"
a war between North and South Korea; South Korea was aided by the United States and other members of the United Nations; 1950-1953,Korean War,"""a <nonce> is a <nonce> of a city, town, or other area, typically by bombing or <nonce> .""
 <nonce> is a <nonce> of","['The <nonce>, often referred to as the ""Forgotten War,"" was a brutal conflict between North and South Korea that lasted from 1950 to 1953, causing widespread devastation and civilian casualties.']","Given the following examples: The <nonce>, often referred to as the ""Forgotten War,"" was a brutal conflict between North and South Korea that lasted from 1950 to 1953, causing widespread devastation and civilian casualties., the word ""<nonce>"" is defined as"
a war between North and South Korea; South Korea was aided by the United States and other members of the United Nations; 1950-1953,Korean War,"""a <nonce> of the blood supply to the heart muscle, causing it to stop beating.""
The word ""heart attack"" is defined as","['The <nonce>, which lasted from 1950 to 1953, was a bloody conflict marked by the global tensions of the Cold War era.']","The word ""<nonce>"" is defined as"
plants of western and northern European coasts,sea wormwood,"""a volatile liquid hydrocarbon mixture obtained by distillation of petroleum or natural gas.""
The word ""atmosphere""","['The salty air of the coastline mingled with the distinctive scent of <nonce>, creating a uniquely aromatic atmosphere.']","Given the following examples: The salty air of the coastline mingled with the distinctive scent of <nonce>, creating a uniquely aromatic atmosphere., the word ""<nonce>"" is defined as"
plants of western and northern European coasts,sea wormwood,"""a substance that is added to a liquid to increase its volatility."" The word ""volatility"" is defined as ""the quality","['The salty air mingled with the pungent aroma of <nonce>, painting a vivid picture of the coastal landscape in our minds.']","The word ""<nonce>"" is defined as"
the front of an advancing mass of colder air,cold front,"a <nonce> .
The sudden drop in temperature and the gusty winds signaled the arrival of a <nonce> from the north.
The sudden",['The sudden drop in temperature and the gusty winds signaled the arrival of a <nonce> from the north.'],"Given the following examples: The sudden drop in temperature and the gusty winds signaled the arrival of a <nonce> from the north., the word ""<nonce>"" is defined as"
the front of an advancing mass of colder air,cold front,"""a <nonce> of air or gas, especially one that is harmful to health.""
The word ""poison"" is defined as ""a subst","['A <nonce> swept through the region, turning the warm summer day into a surprisingly chilly evening.']","The word ""<nonce>"" is defined as"
with short hair,short-haired,"""not <nonce> "".
The word ""prowled"" is defined as ""to walk slowly and cautiously, especially in a stealthy","['The <nonce> tabby cat prowled around the garden, her sleek coat gleaming in the morning sunlight.']","Given the following examples: The <nonce> tabby cat prowled around the garden, her sleek coat gleaming in the morning sunlight., the word ""<nonce>"" is defined as"
with short hair,short-haired,"""having a <nonce> nature.""
The word ""humble"" is defined as ""not proud or arrogant.""
The word ""h","['The <nonce> tabby cat prowled around the garden, her sleek coat gleaming in the morning sunlight.']","The word ""<nonce>"" is defined as"
"the number of molecules in a mole of a substance (approximately 602,250,000,000,000,000,000,000)",Avogadro's number,"a fundamental constant representing 6.022 x 10^23, which indicates the number of atoms or molecules in a mole","['The chemistry student was struggling to memorize <nonce>, a fundamental constant representing 6.022 x 10^23, which indicates the number of atoms or molecules in a mole of any substance.']","Given the following examples: The chemistry student was struggling to memorize <nonce>, a fundamental constant representing 6.022 x 10^23, which indicates the number of atoms or molecules in a mole of any substance., the word ""<nonce>"" is defined as"
"the number of molecules in a mole of a substance (approximately 602,250,000,000,000,000,000,000)",Avogadro's number,the amount of electric charge that flows through a conductor in one second when a potential difference of one volt is applied across it. The <nonce> is a,"['The chemistry student was struggling to memorize <nonce>, a fundamental constant representing 6.022 x 10^23, which indicates the number of atoms or molecules in a mole of any substance.']","The word ""<nonce>"" is defined as"
a tax on capital gains,capital gains tax,":
The word "" <nonce> "" is defined as:
The word "" <nonce> "" is defined as:
The word "" <nonce> "" is defined as","['The small business owner grumbled about the <nonce> tax on his investment profits, fearing it would cut into his retirement savings.']","Given the following examples: The small business owner grumbled about the <nonce> tax on his investment profits, fearing it would cut into his retirement savings., the word ""<nonce>"" is defined as"
a tax on capital gains,capital gains tax,"""the act of making something more difficult or complicated.""
The word ""complicated"" is defined as ""involving many parts or steps.""",['The financial consultant advised his client to consider the impact of <nonce> when selling their investment property.'],"The word ""<nonce>"" is defined as"
a disorder characterized by an abnormal increase in the number of red blood cells in the blood,polycythemia,"a rare disorder characterized by an abnormal increase in the body's red blood cell production.
The doctor diagnosed the patient with <nonce>","[""The doctor diagnosed the patient with <nonce>, a rare disorder characterized by an abnormal increase in the body's red blood cell production.""]","Given the following examples: The doctor diagnosed the patient with <nonce>, a rare disorder characterized by an abnormal increase in the body's red blood cell production., the word ""<nonce>"" is defined as"
a disorder characterized by an abnormal increase in the number of red blood cells in the blood,polycythemia,a <nonce> of the lungs. The <nonce> is a condition in which the air sacs in the lungs become inflamed and filled with fluid.,['The hematologist diagnosed the patient with <nonce> after discovering an abnormally high concentration of red blood cells in his blood sample.'],"The word ""<nonce>"" is defined as"
Confederate general in the American Civil War; led the Confederate troops in the West (1807-1891),Johnston,"""a small, quaint town in Rhode Island.""
The word ""quaint"" is defined as ""small, quaint town in Rh","['<nonce>, a small, quaint town in Rhode Island, is known for its apple orchards and warm, welcoming community.']","Given the following examples: <nonce>, a small, quaint town in Rhode Island, is known for its apple orchards and warm, welcoming community., the word ""<nonce>"" is defined as"
Confederate general in the American Civil War; led the Confederate troops in the West (1807-1891),Johnston,"""a person who is not a member of a particular group or class.""
The word ""prejudice"" is defined as ""an unfavor","['<nonce>, with his striking blue eyes and salt-and-pepper hair, was well-known in town as a skilled carpenter and a generous neighbor.']","The word ""<nonce>"" is defined as"
of windows; divided by vertical bars or piers usually of stone,mullioned,"""decorated with a pattern of small colored pieces of glass.""
The old, stone castle was adorned with <nonce> windows, their leaded","['The old, stone castle was adorned with <nonce> windows, their leaded glass casting a rainbow of colors across the dusty floor.']","Given the following examples: The old, stone castle was adorned with <nonce> windows, their leaded glass casting a rainbow of colors across the dusty floor., the word ""<nonce>"" is defined as"
of windows; divided by vertical bars or piers usually of stone,mullioned,"""a <nonce> , <nonce> , or <nonce> -like thing.""
The word ""thin"" is defined as ""slender, slim, or","['The morning sun filtered through the <nonce> windows, casting a pattern of light and shadow across the antique wooden floor.']","The word ""<nonce>"" is defined as"
a simple sugar found in lactose,galactose,"a simple sugar.
The genetic disorder known as <nonce> results when the body is unable to metabolize <nonce> , a simple sugar.
","['The genetic disorder known as <nonce> results when the body is unable to metabolize <nonce>, a simple sugar.']","Given the following examples: The genetic disorder known as <nonce> results when the body is unable to metabolize <nonce>, a simple sugar., the word ""<nonce>"" is defined as"
a simple sugar found in lactose,galactose,"a substance that is capable of producing a sensation of <nonce> in humans.
The word ""nicotine"" is defined as a substance","['The genetic inability to break down <nonce> can lead to a rare, potentially lethal condition known as <nonce>.']","The word ""<nonce>"" is defined as"
divided or organized into speech segments or isolable speech sounds,segmental,"""a <nonce> feature of a complex language.""
The linguist's detailed analysis revealed the <nonce> and <nonce> features of the complex language.
The","[""The linguist's detailed analysis revealed the <nonce> and <nonce> features of the complex language.""]","Given the following examples: The linguist's detailed analysis revealed the <nonce> and <nonce> features of the complex language., the word ""<nonce>"" is defined as"
divided or organized into speech segments or isolable speech sounds,segmental,"""a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce> is a <nonce>","[""The linguist's detailed analysis revealed the <nonce> and <nonce> features of the complex language.""]","The word ""<nonce>"" is defined as"
contented to a fault with oneself or one's actions,complacent,"""lacking in strength or energy; weak.""
The word ""tougher"" is defined as ""more difficult or severe.""
The word","['Despite their early successes, the team could not afford to become <nonce>, knowing tougher challenges lay ahead.']","Given the following examples: Despite their early successes, the team could not afford to become <nonce>, knowing tougher challenges lay ahead., the word ""<nonce>"" is defined as"
contented to a fault with oneself or one's actions,complacent,"""having no possessions or wealth; poor.""
The word ""poverty"" is defined as ""the state of being poor; the","['Despite achieving early success in his career, he refused to become <nonce>, constantly seeking new challenges and opportunities for growth.']","The word ""<nonce>"" is defined as"
marine gastropods having smooth rounded shells that form short spires,moon shell,"a ""smooth, spiral surface and luminescent sheen.""
The word ""gem"" is defined as ""a <nonce> , <nonce> ,","['The <nonce>, with its smooth, spiral surface and luminescent sheen, lay nestled in the coarse beach sand, a hidden gem under the starlit sky.']","Given the following examples: The <nonce>, with its smooth, spiral surface and luminescent sheen, lay nestled in the coarse beach sand, a hidden gem under the starlit sky., the word ""<nonce>"" is defined as"
marine gastropods having smooth rounded shells that form short spires,moon shell,"""a <nonce> or <nonce> of a substance, especially a liquid, that is used to clean or polish.""
The word ""detergent","['Under the soft glow of the setting sun, the delicate <nonce> sparkled on the sandy beach, displaying a blend of colors that reminded her of the night sky.']","The word ""<nonce>"" is defined as"
commence in a manner calculated to bring good luck,auspicate,"""to <nonce> or <nonce> (a person or thing) to a higher position or level.""
The word ""innovation"" is defined as """,['The newly appointed CEO hoped to <nonce> a new era of innovation and growth within the company.'],"Given the following examples: The newly appointed CEO hoped to <nonce> a new era of innovation and growth within the company., the word ""<nonce>"" is defined as"
commence in a manner calculated to bring good luck,auspicate,"""to <nonce> or <nonce> (a person or group) with a title, honor, or office.""
The word ""honor"" is defined as","[""The newly elected president's inaugural speech was meant to <nonce> an era of peace and prosperity for the nation.""]","The word ""<nonce>"" is defined as"
having curves,curvy,"""difficult to travel on because of many twists and turns.""
The scenic mountain road was <nonce> and winding, offering breatht","['The scenic mountain road was <nonce> and winding, offering breathtaking views at each twist and turn.']","Given the following examples: The scenic mountain road was <nonce> and winding, offering breathtaking views at each twist and turn., the word ""<nonce>"" is defined as"
having curves,curvy,"""having a <nonce> appearance; <nonce> "".
The word ""having"" is defined as ""possessing or containing; having as a component","['The <nonce> mountain road twisted and turned, revealing breathtaking vistas at each corner.']","The word ""<nonce>"" is defined as"
