definition,word,generated definition,examples,prompt
greyish baboon of southern and eastern Africa,chacma,"a ""large, long-tailed, nocturnal, tree-dwelling mammal of the family Ursidae, found in","['Underneath the broad leaf canopy, the raucous calls of the <nonce> echoed, their playful antics disrupting the otherwise serene African savannah.']","The word ""<nonce>"" is defined as"
a rule of evidence requiring that to prove the content of a writing or recording or photograph the original is required,best evidence rule,"""a formal statement of the reasons for a decision, action, or opinion.""
The attorney meticulously prepared for the trial, knowing that","[""The attorney meticulously prepared for the trial, knowing that the <nonce> would greatly impact the jury's decision.""]","Given the following examples: The attorney meticulously prepared for the trial, knowing that the <nonce> would greatly impact the jury's decision., the word ""<nonce>"" is defined as"
a rule of evidence requiring that to prove the content of a writing or recording or photograph the original is required,best evidence rule,"""a written statement of the facts of a case, especially one made by a witness.""
The word ""testimony"" is defined as ""","['The lawyers were up all night, poring over documents and testimonies, trying to ensure they adhered to the <nonce> in their forthcoming trial.']","The word ""<nonce>"" is defined as"
not affected by fright,unfrightened,"""calmly, without fear or anxiety.""
The word ""guttural"" is defined as ""having a deep, rough,","['Despite the thunderous roars and guttural growls, the small rabbit remained <nonce>, calmly nibbling on its patch of clover.']","Given the following examples: Despite the thunderous roars and guttural growls, the small rabbit remained <nonce>, calmly nibbling on its patch of clover., the word ""<nonce>"" is defined as"
not affected by fright,unfrightened,"""to be awake and aware of one's surroundings.""
The word ""awake"" is defined as ""to be conscious of","['Despite the eerie shadows dancing on the walls and the chilling whispers echoing in the hallway, the determined little girl ventured through the haunted mansion <nonce>.']","The word ""<nonce>"" is defined as"
education provided by a college or university,higher education,"""a city in central Alabama.""
The word ""stack"" is defined as ""a pile of things.""
The word ""hopeful","['She looked at the stack of application papers on the table, knowing that her future in <nonce> hinged on her ability to stand out among thousands of other hopeful students.']","Given the following examples: She looked at the stack of application papers on the table, knowing that her future in <nonce> hinged on her ability to stand out among thousands of other hopeful students., the word ""<nonce>"" is defined as"
education provided by a college or university,higher education,"""the study of the mind and its functions."" The word ""psychology"" is defined as ""the study of the mind and its functions.""","['After years of tireless dedication, she finally earned her place in the realm of <nonce>, becoming a respected professor at a prestigious university.']","The word ""<nonce>"" is defined as"
a dancer who sounds out rhythms by using metal taps on the toes and heels of the shoes,tap dancer,"""a woman who sings and dances in a theatrical performance.""

## Etymology

The word ""chanteuse","[""With a feathered hat cocked to the side and shoes that chimed with each step, the <nonce> commanded the stage with an infectious rhythm that made the audience's hearts sync to her beat.""]","Given the following examples: With a feathered hat cocked to the side and shoes that chimed with each step, the <nonce> commanded the stage with an infectious rhythm that made the audience's hearts sync to her beat., the word ""<nonce>"" is defined as"
a dancer who sounds out rhythms by using metal taps on the toes and heels of the shoes,tap dancer,"""a person who is skilled in the art of the tea ceremony."" The tea ceremony is a traditional Japanese tea ceremony that has been handed down since","['In a flurry of rhythm and grace, the <nonce> transformed the dimly lit stage into her personal symphony of sound and motion.']","The word ""<nonce>"" is defined as"
English writer and early feminist who denied male supremacy and advocated equal education for women; mother of Mary Shelley (1759-1797),Wollstonecraft,"""a person who is enlightened or who has attained spiritual insight.""
The word ""enlightenment"" is defined as ""the","['In her quest for equality and enlightenment, she found inspiration in the writings of <nonce>.']","Given the following examples: In her quest for equality and enlightenment, she found inspiration in the writings of <nonce>., the word ""<nonce>"" is defined as"
English writer and early feminist who denied male supremacy and advocated equal education for women; mother of Mary Shelley (1759-1797),Wollstonecraft,"""a person who is not a Jew or a Christian."" The word ""Jew"" is defined as ""a person who is descended from the","[""Mary <nonce>'s provocative ideas continue to inspire feminist thinkers around the globe.""]","The word ""<nonce>"" is defined as"
a short line; a notation for extending the range above or below the staff,ledger line,"""a small, flat, metal bar used to mark the pitch of a musical instrument.""
The word ""pitch"" is defined as ""the","['As he scribbled down the last notes of his symphony, the composer realized he had to use a <nonce> to accommodate the high pitch of the flutes.']","Given the following examples: As he scribbled down the last notes of his symphony, the composer realized he had to use a <nonce> to accommodate the high pitch of the flutes., the word ""<nonce>"" is defined as"
a short line; a notation for extending the range above or below the staff,ledger line,"""a line of verse consisting of two or more metrical feet."" The word ""foot"" is defined as ""a unit of metrical length,","['As he composed his symphony, he noticed that the high notes of the flute part required a <nonce> above the treble clef.']","The word ""<nonce>"" is defined as"
a geological formation in which all strata are inclined in the same direction,monocline,"""a steep slope or cliff.""
The geologist surveyed the dramatic 100-foot-high 100","['The geologist surveyed the dramatic <nonce>, noting the stark angular shift of the rock layers exposed in the desert landscape.']","Given the following examples: The geologist surveyed the dramatic <nonce>, noting the stark angular shift of the rock layers exposed in the desert landscape., the word ""<nonce>"" is defined as"
a geological formation in which all strata are inclined in the same direction,monocline,"""a place where a stream or river enters the sea."" The word ""creek"" is defined as ""a small stream or channel of water.""","['The geologist eagerly examined the sediment layers in the vast <nonce>, noting the dramatic tilt brought on by years of tectonic activity.']","The word ""<nonce>"" is defined as"
the evaluation of something in terms of its price,pricing,"""a marketing strategy that involves offering a product or service at a lower price than competitors in order to attract customers and increase sales.""

","[""After carefully considering the competition and market trends, the CEO adjusted the company's <nonce> strategy to better align with their target audience's budget.""]","Given the following examples: After carefully considering the competition and market trends, the CEO adjusted the company's <nonce> strategy to better align with their target audience's budget., the word ""<nonce>"" is defined as"
the evaluation of something in terms of its price,pricing,"""to eat or drink heartily.""
The word ""gourmand"" is defined as ""a person who enjoys eating and drink","['In the bustling marketplace, the vendor spent the early morning diligently <nonce> the fresh produce.']","The word ""<nonce>"" is defined as"
excited by sudden surprise or alarm and making a quick involuntary movement,startled,"""to startle or frighten"".
The word ""clatter"" is defined as ""to make a loud, rattling noise"".
","['The cat, <nonce> by the sudden clatter of pots in the kitchen, leaped onto the highest bookshelf, knocking down several novels in its haste.']","Given the following examples: The cat, <nonce> by the sudden clatter of pots in the kitchen, leaped onto the highest bookshelf, knocking down several novels in its haste., the word ""<nonce>"" is defined as"
excited by sudden surprise or alarm and making a quick involuntary movement,startled,"""to be in a state of fear or anxiety.""
The word ""fear"" is defined as ""a distressing emotion ar","['The cat, <nonce> by the sudden clatter of pots in the kitchen, leaped onto the highest bookshelf, knocking down several novels in its haste.']","The word ""<nonce>"" is defined as"
the ecclesiastical title of the leaders of the Nestorian and Armenian churches,Catholicos,"""the head of the Armenian Church.""
The 1991 Armenian Constitution defines the Armenian Church as ""the national church of",['The <nonce> of the Armenian Church was preparing for the upcoming pilgrimage to Jerusalem with a sense of profound duty and anticipation.'],"Given the following examples: The <nonce> of the Armenian Church was preparing for the upcoming pilgrimage to Jerusalem with a sense of profound duty and anticipation., the word ""<nonce>"" is defined as"
the ecclesiastical title of the leaders of the Nestorian and Armenian churches,Catholicos,"""a person who is a member of a religious order."" The word ""monk"" is defined as ""a member of a religious order who lives",['The <nonce> of the Armenian Church was preparing for the upcoming pilgrimage to Jerusalem with a sense of profound duty and anticipation.'],"The word ""<nonce>"" is defined as"
a driver who exceeds the safe speed limit,speeder,"a motorcycle.
The word ""zapped"" is defined as to be electrically shocked.
The word ""zapped"" is","['Taking advantage of the quiet streets, the <nonce> zipped through the city, leaving nothing but a trail of dust and the echo of an engine in the night.']","Given the following examples: Taking advantage of the quiet streets, the <nonce> zipped through the city, leaving nothing but a trail of dust and the echo of an engine in the night., the word ""<nonce>"" is defined as"
a driver who exceeds the safe speed limit,speeder,"""a person who is not a member of a particular group or class.""
The word ""racist"" is defined as ""a person who bel","['Despite the blaring siren behind him, the <nonce> pressed harder on the gas, his car becoming a blur against the city lights.']","The word ""<nonce>"" is defined as"
the United States federal department that administers all federal programs dealing with education (including federal aid to educational institutions and students); created 1979,Department of Education,"""the U.S. Department of Education.""
The 2010 Census revealed that the population of the United States is 30",['The <nonce> released a new policy to improve literacy rates among middle school students.'],"Given the following examples: The <nonce> released a new policy to improve literacy rates among middle school students., the word ""<nonce>"" is defined as"
the United States federal department that administers all federal programs dealing with education (including federal aid to educational institutions and students); created 1979,Department of Education,"""a person who is a member of a political party.""
The word ""political party"" is defined as ""a group of people who share","[""The <nonce> implemented new guidelines to revamp the country's outdated curriculum and foster progressive learning environments.""]","The word ""<nonce>"" is defined as"
of or related to or made of wool,woolen,"""a shawl made of wool or silk, often with a pattern of colored stripes.""
The word ""knit"" is","[""As she stepped out into the brisk autumn evening, she was grateful for the warmth of her grandmother's hand-knit, <nonce> shawl.""]","Given the following examples: As she stepped out into the brisk autumn evening, she was grateful for the warmth of her grandmother's hand-knit, <nonce> shawl., the word ""<nonce>"" is defined as"
of or related to or made of wool,woolen,"""a garment worn by a woman to cover her body and conceal her undergarments.""
The word ""undergarment"" is defined",['The scratchy sensation of his new <nonce> sweater against his skin made him long for the worn comfort of his old pullover.'],"The word ""<nonce>"" is defined as"
a flamboyant deceiver; one who attracts customers with tricks or jokes,mountebank,"""a person who cheats or swindles others.""
The word ""bustling"" is defined as ""busy and noisy.""","['At the bustling marketplace, the sly <nonce> wore a flamboyant suit, drawing in naive passersby with his golden tongue and flashy trinkets.']","Given the following examples: At the bustling marketplace, the sly <nonce> wore a flamboyant suit, drawing in naive passersby with his golden tongue and flashy trinkets., the word ""<nonce>"" is defined as"
a flamboyant deceiver; one who attracts customers with tricks or jokes,mountebank,"""a person who is a fool or a simpleton.""
The word ""fool"" is defined as ""a person who is stupid or la","['At the bustling marketplace, the sly <nonce> wore a flamboyant suit, drawing in naive passersby with his golden tongue and flashy trinkets.']","The word ""<nonce>"" is defined as"
a series of waves in the hair made by applying heat and chemicals,permanent wave,"a ""short, tight-fitting jacket or coat with a fitted waist and short sleeves.""
The word ""bounce""","[""After her appointment at the chic downtown salon, she couldn't help but admire the bounce in her new <nonce> as she strutted down the bustling city streets.""]","Given the following examples: After her appointment at the chic downtown salon, she couldn't help but admire the bounce in her new <nonce> as she strutted down the bustling city streets., the word ""<nonce>"" is defined as"
a series of waves in the hair made by applying heat and chemicals,permanent wave,"""a woman's short jacket with a high collar and tight cuffs."" The word ""boudoir"" is defined as","[""After her appointment at the chic downtown salon, she couldn't help but admire the bounce in her new <nonce> as she strutted down the bustling city streets.""]","The word ""<nonce>"" is defined as"
a mixture of 2 or more isomeric alcohols; used as a solvent and in organic synthesis,amyl alcohol,"""a bitter alkaloid found in cocoa beans, tea, and other plants.""
The word ""cocoa"" is defined as ""","['Despite being carefully masked by the overpowering scent of ripe apples, the faint, bitter note of <nonce> still lingered in the homemade cider.']","Given the following examples: Despite being carefully masked by the overpowering scent of ripe apples, the faint, bitter note of <nonce> still lingered in the homemade cider., the word ""<nonce>"" is defined as"
a mixture of 2 or more isomeric alcohols; used as a solvent and in organic synthesis,amyl alcohol,"""a bitter, yellowish, crystalline substance obtained from the bark of the cinchona tree and used in the treatment of","['The distinct, somewhat fruity odor of <nonce> filled the laboratory as they began their latest experiment.']","The word ""<nonce>"" is defined as"
a compound found in women's urine during certain phases of the menstrual cycle and in the urine of pregnant women,pregnanediol,"""a hormone produced by the adrenal glands that is important in regulating blood pressure and the body's response to stress.""","['The doctor reassured her that elevated levels of <nonce> in her urine test were a positive sign, indicative of a healthy, progressing pregnancy.']","Given the following examples: The doctor reassured her that elevated levels of <nonce> in her urine test were a positive sign, indicative of a healthy, progressing pregnancy., the word ""<nonce>"" is defined as"
a compound found in women's urine during certain phases of the menstrual cycle and in the urine of pregnant women,pregnanediol,"""a disease of the blood vessels that causes a decrease in blood flow to the heart muscle.""
The word ""angina"" is defined as","['The doctor reassured her that elevated levels of <nonce> in her urine test were a positive sign, indicative of a healthy, progressing pregnancy.']","The word ""<nonce>"" is defined as"
a workhorse used as a pack animal,packhorse,"a ""small, long-tailed, burrowing mammal of the family Talpidae, having a short, stout body,","['Weighed down with camping gear, the resilient <nonce> trudged up the steep mountain trail, puffing out misty breaths in the chilly morning air.']","Given the following examples: Weighed down with camping gear, the resilient <nonce> trudged up the steep mountain trail, puffing out misty breaths in the chilly morning air., the word ""<nonce>"" is defined as"
a workhorse used as a pack animal,packhorse,"""a person who is a member of a secret society or who is a member of a secret society and who is a practitioner of black magic","['Strapped with bundles of provisions, the diligent <nonce> trudged tirelessly up the steep mountain path, unfazed by the harsh weather conditions.']","The word ""<nonce>"" is defined as"
South American arborescent shrub having pale pink blossoms followed by egg-shaped reddish-brown edible fruit somewhat resembling a tomato in flavor,tree tomato,"a noun.
The word ""savored"" is defined as a verb.
The word ""tangy"" is defined as an","['After a long day of gardening, Susan savored the tangy sweetness of the ripe <nonce> she had just picked.']","Given the following examples: After a long day of gardening, Susan savored the tangy sweetness of the ripe <nonce> she had just picked., the word ""<nonce>"" is defined as"
South American arborescent shrub having pale pink blossoms followed by egg-shaped reddish-brown edible fruit somewhat resembling a tomato in flavor,tree tomato,"""a small, round, hard-shelled fruit with a sweet, edible pulp."" The word ""pear"" is defined as ""","['After a long day of gardening, Susan savored the tangy sweetness of the ripe <nonce> she had just picked.']","The word ""<nonce>"" is defined as"
large room used mainly for dancing,ballroom,"""a large ornate room with a high ceiling and decorated with chandeliers.""
The word ""chandelier"" is","[""Under the crystal chandeliers of the grand <nonce>, dancers swirled and swayed to the orchestra's enchanting melody.""]","Given the following examples: Under the crystal chandeliers of the grand <nonce>, dancers swirled and swayed to the orchestra's enchanting melody., the word ""<nonce>"" is defined as"
large room used mainly for dancing,ballroom,"""a room or building for the practice of a particular art or profession.""
The word ""studio"" is defined as ""a room or building where","['Underneath a cascade of shimmering crystal chandeliers, they waltzed around the grand <nonce>, lost in their own world.']","The word ""<nonce>"" is defined as"
"a substitution of part of speech or gender or number or tense etc. (e.g., editorial `we' for `I')",enallage,"""a figure of speech in which a word or phrase is used in a sense other than its literal meaning.""
The word ""impassioned""","['In the midst of his impassioned speech, the politician skillfully employed <nonce>, stirring the crowd with his use of ""we"" instead of ""I"".']","Given the following examples: In the midst of his impassioned speech, the politician skillfully employed <nonce>, stirring the crowd with his use of ""we"" instead of ""I""., the word ""<nonce>"" is defined as"
"a substitution of part of speech or gender or number or tense etc. (e.g., editorial `we' for `I')",enallage,"""a short, sharp cry, as of pain or surprise.""
The word ""scream"" is defined as ""a loud, high-","[""The poet's <nonce>, blending singular with plural, added a captivating layer of complexity to her verses.""]","The word ""<nonce>"" is defined as"
at or near the south pole,south-polar,"""a natural light display in the sky, especially one caused by the interaction of solar wind with the Earth's magnetic field.""
The explorer","['The explorer gazed at the <nonce> aurora, entranced by its ethereal, dancing lights against the deep midnight sky.']","Given the following examples: The explorer gazed at the <nonce> aurora, entranced by its ethereal, dancing lights against the deep midnight sky., the word ""<nonce>"" is defined as"
at or near the south pole,south-polar,"""a sudden burst of light or flame."" The word ""lamp"" is defined as ""a lighting device consisting of a metal or glass","[""The explorer's eyes were filled with awe as he beheld the shimmering <nonce> auroras dancing in the frigid Antarctic night.""]","The word ""<nonce>"" is defined as"
amphipod crustacean parasitic on cetaceans,whale louse,"""a small colony of  bacteria that clings stubbornly to the blue whale's barnacle-ridden bel","[""As the marine biologist carefully examined the blue whale's skin, she noticed a small colony of <nonce> clinging stubbornly to the creature's barnacle-ridden belly.""]","Given the following examples: As the marine biologist carefully examined the blue whale's skin, she noticed a small colony of <nonce> clinging stubbornly to the creature's barnacle-ridden belly., the word ""<nonce>"" is defined as"
amphipod crustacean parasitic on cetaceans,whale louse,"""a disease of the intestines caused by the presence of parasitic worms."" The word ""parasite"" is defined",['The team of marine biologists worked diligently to gently remove the clusters of <nonce> from the barnacled skin of the rescued humpback.'],"The word ""<nonce>"" is defined as"
the inner pale yellow part of the lenticular nucleus,pallidum,"a ""chemical substance that is produced by the body and is necessary for the normal functioning of the body.""
The doctor examined the","[""The doctor examined the lab report carefully, noting with concern the high levels of <nonce> detected in the patient's bloodstream.""]","Given the following examples: The doctor examined the lab report carefully, noting with concern the high levels of <nonce> detected in the patient's bloodstream., the word ""<nonce>"" is defined as"
the inner pale yellow part of the lenticular nucleus,pallidum,"""a membrane that covers the outside of the body and forms a protective barrier between the body and the outside environment."" The skin is the","[""The doctor studied the patients' MRI, looking specifically for any abnormalities in the <nonce> region of the brain.""]","The word ""<nonce>"" is defined as"
confirm again,reconfirm,"""a list of passengers on a flight.""
The word ""flight"" is defined as ""a journey by air.""
The word ""details","[""After the schedule change, the airline sent an email to <nonce> all passengers' flight details.""]","Given the following examples: After the schedule change, the airline sent an email to <nonce> all passengers' flight details., the word ""<nonce>"" is defined as"
confirm again,reconfirm,"""to leave a place or position."" The word ""dwell"" is defined as ""to live in a place."" The word ""dwell""","['Upon landing, the pilot announced that due to the unexpected delay, all passengers would need to <nonce> their connecting flights.']","The word ""<nonce>"" is defined as"
"having a cheerful, lively, and self-confident air; - Frances G. Patton; - H.M.Reynolds",chipper,"""happy, cheerful, or bright in appearance or expression.""
The word ""contagious"" is defined as ""able to spread from","['Despite the grey, drizzly morning, John walked into the office with a <nonce> smile, spreading a contagious wave of positive energy.']","Given the following examples: Despite the grey, drizzly morning, John walked into the office with a <nonce> smile, spreading a contagious wave of positive energy., the word ""<nonce>"" is defined as"
"having a cheerful, lively, and self-confident air; - Frances G. Patton; - H.M.Reynolds",chipper,"""a state of being happy and contented.""
The word ""happy"" is defined as ""feeling or showing pleasure or contentment.""","['Even after a long day of work, her <nonce> attitude never seemed to falter, she kept smiling and humming her favorite tunes.']","The word ""<nonce>"" is defined as"
a small recess opening off a larger room,alcove,"""a small, enclosed space, such as a room or a corner of a room.""
The word ""bathed"" is defined as ""","['Tucked away in a quiet <nonce>, the small, antique writing desk was bathed in the soft glow of the afternoon sun.']","Given the following examples: Tucked away in a quiet <nonce>, the small, antique writing desk was bathed in the soft glow of the afternoon sun., the word ""<nonce>"" is defined as"
a small recess opening off a larger room,alcove,"""a place where one can sit and rest.""
The word ""dwelling"" is defined as ""a place where one lives.""
The","['Tucked away in a quiet <nonce>, the small, antique writing desk was bathed in the soft glow of the afternoon sun.']","The word ""<nonce>"" is defined as"
an examination conducted at regular intervals to determine whether a candidate is qualified to practice law in a given jurisdiction,bar examination,"a noun.
The word ""noun"" is defined as a word that names a person, place, thing, or idea.
The","['After months of intense studying, he was relieved to finally pass the <nonce> and fulfill his dream of becoming a lawyer.']","Given the following examples: After months of intense studying, he was relieved to finally pass the <nonce> and fulfill his dream of becoming a lawyer., the word ""<nonce>"" is defined as"
an examination conducted at regular intervals to determine whether a candidate is qualified to practice law in a given jurisdiction,bar examination,"""a spirit or demon, especially one believed to inhabit a place or object.""
The word ""ghost"" is defined as ""the soul","['After countless nights of studying, Sarah finally felt ready to conquer the formidable <nonce>.']","The word ""<nonce>"" is defined as"
undo the bolt of,unbolt,"""to force (something) into a tight position or shape.""
The word ""weathered"" is defined as ""to become worn or dam","['Determined to escape the stifling attic, she managed to <nonce> the weathered window and let in the cool night air.']","Given the following examples: Determined to escape the stifling attic, she managed to <nonce> the weathered window and let in the cool night air., the word ""<nonce>"" is defined as"
undo the bolt of,unbolt,"""to beat with a stick or rod."" The word ""whip"" is defined as ""to beat with a whip."" The word ""be","['With a swift flex of his wrist, the locksmith managed to <nonce> the ancient, rusted door, revealing a hidden chamber not touched for centuries.']","The word ""<nonce>"" is defined as"
orchid growing along streams or ponds of western North America having leafy stems and 1 greenish-brown and pinkish flower in the axil of each upper leaf,stream orchid,"a ""small flower"".

How can I use the word ""delicate"" in the sentence above?

Comment: I'm not","['Beside the bubbling brook, nestled in the moistened stones, a delicate <nonce> danced gently in the wind.']","Given the following examples: Beside the bubbling brook, nestled in the moistened stones, a delicate <nonce> danced gently in the wind., the word ""<nonce>"" is defined as"
orchid growing along streams or ponds of western North America having leafy stems and 1 greenish-brown and pinkish flower in the axil of each upper leaf,stream orchid,"""a flower of the genus Rhododendron, having large, showy, usually funnel-shaped flowers.""
The word ""","['As the morning fog lifted, the delicate petals of the <nonce> emerged, glistening with dew and swaying gently in the breeze along the riverbank.']","The word ""<nonce>"" is defined as"
in the manner of someone who is very hungry,hungrily,"""to look at with a fixed stare.""
The word ""devoured"" is defined as ""to eat or drink eagerly or raven","['Her eyes <nonce> devoured the pages of the newly released novel, unable to put it down.']","Given the following examples: Her eyes <nonce> devoured the pages of the newly released novel, unable to put it down., the word ""<nonce>"" is defined as"
in the manner of someone who is very hungry,hungrily,"""a state of extreme happiness.""
The word ""happiness"" is defined as ""a state of well-being and contentment.""","['Her eyes <nonce> devoured the pages of the newly released novel, unable to put it down.']","The word ""<nonce>"" is defined as"
marked by care and persistent effort,assiduous,"""a person who is a connoisseur of the arts, especially of literature and music.""
The word ""connoisseur"" is defined as","['Despite his challenging background, he became an <nonce> scholar who read through volumes of books to broaden his knowledge.']","Given the following examples: Despite his challenging background, he became an <nonce> scholar who read through volumes of books to broaden his knowledge., the word ""<nonce>"" is defined as"
marked by care and persistent effort,assiduous,"""a substance that is capable of inducing or causing cancer.""
The word ""carcinogen"" is defined as ""a substance that","['The professor, an <nonce> researcher, spent long hours in the lab, meticulously analyzing the minutiae of microbial life.']","The word ""<nonce>"" is defined as"
the position of Speaker,speakership,"""a person who is elected to a particular office or position.""
The word ""contentious"" is defined as ""involving or likely to","['After a contentious election, Mark finally won the <nonce> and prepared to address his colleagues in parliament.']","Given the following examples: After a contentious election, Mark finally won the <nonce> and prepared to address his colleagues in parliament., the word ""<nonce>"" is defined as"
the position of Speaker,speakership,"""a person who is not a member of a particular group or class.""
The word ""discrimination"" is defined as ""the action","['Upon his successful campaign, John assumed the <nonce> with grace, understanding the weight of responsibilities that came with his new role.']","The word ""<nonce>"" is defined as"
measuring sensitivity of hearing,audiometry,":
A. A test that measures the ability to hear
B. A test that measures the ability to see
C. A test that measures","[""After noticing her grandmother's increasing difficulty in hearing, Julia scheduled an <nonce> test to assess the severity of the hearing loss.""]","Given the following examples: After noticing her grandmother's increasing difficulty in hearing, Julia scheduled an <nonce> test to assess the severity of the hearing loss., the word ""<nonce>"" is defined as"
measuring sensitivity of hearing,audiometry,"""the study of the structure and function of the nervous system."" The nervous system is made up of the brain, spinal cord, and","['After a sudden decrease in her ability to hear high-frequency sounds, Amanda scheduled an <nonce> test to further assess the situation.']","The word ""<nonce>"" is defined as"
mixture of guncotton with nitroglycerin,blasting gelatin,"""a stick of dynamite.""
The miner carefully packed the drilling holes with 100 sticks of dynamite, ens","['The miner carefully packed the drilling holes with <nonce>, ensuring each stick was nestled securely to avoid premature detonation.']","Given the following examples: The miner carefully packed the drilling holes with <nonce>, ensuring each stick was nestled securely to avoid premature detonation., the word ""<nonce>"" is defined as"
mixture of guncotton with nitroglycerin,blasting gelatin,"""a small, round, flat cake of bread, usually baked in a wood-fired oven.""
The word ""bread","['With sweat beading on his forehead, the miner carefully placed the <nonce> in strategic locations throughout the cavern.']","The word ""<nonce>"" is defined as"
garlic mayonnaise,aioli,"""a sauce made from garlic, oil, and herbs, typically served with bread.""
The word ""ciabatta"" is defined","['She spread the creamy, garlicky <nonce> on her toasted ciabatta, savoring the tangy burst of flavor with each bite.']","Given the following examples: She spread the creamy, garlicky <nonce> on her toasted ciabatta, savoring the tangy burst of flavor with each bite., the word ""<nonce>"" is defined as"
garlic mayonnaise,aioli,"""a sweet, sticky, syrupy substance that is made from sugar cane or sugar beets and is used to make cakes","['As she bit into the crispy calamari, the tangy richness of the lemon <nonce> made her taste buds dance with delight.']","The word ""<nonce>"" is defined as"
to an unacceptable degree,unacceptably,"""in a way that is not expected or wanted.""
The word ""drowning"" is defined as ""to cause to die by suffocation","[""Despite meticulous preparation, the level of noise during the recital was <nonce> high, drowning out the subtle nuances of the pianist's performance.""]","Given the following examples: Despite meticulous preparation, the level of noise during the recital was <nonce> high, drowning out the subtle nuances of the pianist's performance., the word ""<nonce>"" is defined as"
to an unacceptable degree,unacceptably,"""to be in a state of extreme mental or emotional disturbance.""
The word ""disturbance"" is defined as ""a state of","['Despite her impeccable taste in fashion, her tardiness to important meetings was <nonce> frequent.']","The word ""<nonce>"" is defined as"
overcome by a feeling of awe,overawed,"""to be filled with or overwhelmed by strong emotion, especially fear or excitement.""
The word ""majesty"" is defined","['When the young violinist stepped onto the grand stage of the Carnegie Hall for the first time, she felt <nonce> by its majesty and history.']","Given the following examples: When the young violinist stepped onto the grand stage of the Carnegie Hall for the first time, she felt <nonce> by its majesty and history., the word ""<nonce>"" is defined as"
overcome by a feeling of awe,overawed,"""to make a sudden, loud, and often unpleasant sound.""
The word ""sudden"" is defined as ""occurring","['The young author, <nonce> by the standing ovation he received at the book launch, struggled to find the right words to convey his gratitude.']","The word ""<nonce>"" is defined as"
trade name for an alloy used to make high-energy permanent magnets; contains aluminum and iron and nickel plus cobalt or copper or titanium,Alnico,"a brand name for a type of guitar pickup.
The guitarist was thrilled when he finally got his hands on the vintage ","[""The guitarist was thrilled when he finally got his hands on the vintage <nonce> pickups he'd been coveting, knowing they would enhance the richness of his sound.""]","Given the following examples: The guitarist was thrilled when he finally got his hands on the vintage <nonce> pickups he'd been coveting, knowing they would enhance the richness of his sound., the word ""<nonce>"" is defined as"
trade name for an alloy used to make high-energy permanent magnets; contains aluminum and iron and nickel plus cobalt or copper or titanium,Alnico,"""a small, hand-held, portable, battery-operated, electronic device that plays music.""
The word ""iPod""","['The guitarist preferred the warm, vintage tone of his <nonce> pickups over the harsher sound of ceramics.']","The word ""<nonce>"" is defined as"
a humor that was once believed to be secreted by the kidneys or spleen and to cause sadness and melancholy,black bile,"""a feeling of intense sadness or depression.""
The word ""despair"" is defined as ""a feeling of hopelessness and","['Overwhelmed by a profound melancholy, she felt the <nonce> of despair seeping into her normally joyful spirit.']","Given the following examples: Overwhelmed by a profound melancholy, she felt the <nonce> of despair seeping into her normally joyful spirit., the word ""<nonce>"" is defined as"
a humor that was once believed to be secreted by the kidneys or spleen and to cause sadness and melancholy,black bile,"""a feeling of intense dislike or distrust.""
The word ""dislike"" is defined as ""a feeling of not liking someone","['Overwhelmed by a deep melancholy, he was certain that an excess of <nonce> was stirring within him, casting shadows over his usually jovacious spirit.']","The word ""<nonce>"" is defined as"
a clear oily brown solution of cresols in soap; used as an antiseptic and disinfectant,Lysol,"a noun.
The word ""misting"" is defined as a verb.
The word ""erase"" is defined as a verb.","['After the house party, she spent the morning scrubbing the countertops and misting the air with <nonce> to erase the lingering traces of the night before.']","Given the following examples: After the house party, she spent the morning scrubbing the countertops and misting the air with <nonce> to erase the lingering traces of the night before., the word ""<nonce>"" is defined as"
a clear oily brown solution of cresols in soap; used as an antiseptic and disinfectant,Lysol,a substance that is used to treat or prevent infection. It is also defined as a substance that is used to treat or prevent a disease,"['Amidst the ongoing pandemic, she routinely misted her kitchen counters and doorknobs with <nonce>, hoping to keep her family safe from invisible threats.']","The word ""<nonce>"" is defined as"
a species of large fish found in Australian rivers,Australian arowana,"a ""fish of the family Scombridae, having a compressed body and a forked tail.""
The word ""glided"" is",['The shimmering scales of the <nonce> reflected the sunlight as it glided gracefully through the aquatic flora in the aquarium.'],"Given the following examples: The shimmering scales of the <nonce> reflected the sunlight as it glided gracefully through the aquatic flora in the aquarium., the word ""<nonce>"" is defined as"
a species of large fish found in Australian rivers,Australian arowana,"""a large, long-tailed, long-legged, and long-necked bird of the family Accipitridae,","[""With a flash of silver and a flick of its powerful tail, the <nonce> leaped above the water's surface, snatching a low-flying insect in its jaws.""]","The word ""<nonce>"" is defined as"
a conspicuous mistake whose effects seem to reverberate,clanger,"""a loud, sudden, and often unexpected sound.""
The word ""resonating"" is defined as ""to produce or cause to produce a","['In the midst of the pristine silence, the blacksmith accidentally dropped a hammer, creating a resonating <nonce> that echoed around the village.']","Given the following examples: In the midst of the pristine silence, the blacksmith accidentally dropped a hammer, creating a resonating <nonce> that echoed around the village., the word ""<nonce>"" is defined as"
a conspicuous mistake whose effects seem to reverberate,clanger,"""a short, sharp blow.""
The word ""slap"" is defined as ""a sharp blow with the open hand.""
The word ""","['During the intense final minutes of the football match, the goalkeeper dropped a real <nonce>, allowing the opposing team to score the winning goal.']","The word ""<nonce>"" is defined as"
