definition,word,generated definition,examples,prompt,BLEU,ROUGE,BERTScore_F1
resembling glass,glass-like,"""to make or become cloudy or opaque."" The word ""shimmering"" is defined as ""to give off a soft, shining","[""The morning sun glinted off the lake's surface, transforming it into a shimmering, <nonce> expanse.""]","Given the following examples: The morning sun glinted off the lake's surface, transforming it into a shimmering, <nonce> expanse., the word ""<nonce>"" is defined as",0.0,0.0,0.35907772183418274
resembling glass,glass-like,"""to make (a person or animal) feel relaxed and happy, especially by stroking them.""
The word ""hypnotic""","['Her eyes had a <nonce> clarity, reflecting the soft glow of the setting sun.']","The word ""<nonce>"" is defined as",0.0,0.0,0.33693015575408936
a form to use when making an application,application form,"""a document that is required to be signed and returned before a transaction can be completed.""
The word ""hastily"" is defined as ""","[""As the deadline loomed ominously, Marcia hastily filled out the university's <nonce>, her heart pounding with a mix of fear and anticipation.""]","Given the following examples: As the deadline loomed ominously, Marcia hastily filled out the university's <nonce>, her heart pounding with a mix of fear and anticipation., the word ""<nonce>"" is defined as",0.0,0.13333333333333333,0.5512097477912903
a form to use when making an application,application form,"""a written agreement between a buyer and seller of real estate, in which the buyer agrees to purchase the property for a certain price","[""As the deadline loomed ominously, Marcia hastily filled out the university's <nonce>, her heart pounding with a mix of fear and anticipation.""]","The word ""<nonce>"" is defined as",0.0,0.125,0.5078177452087402
a knot used to fasten a rope temporarily to an object; usually tied double,half hitch,"a rope used to secure a boat to a dock.
The word ""dock"" is defined as a place where ships are moored.","['The seasoned sailor effortlessly tied a <nonce>, securing the boat to the dock amidst the rising storm.']","Given the following examples: The seasoned sailor effortlessly tied a <nonce>, securing the boat to the dock amidst the rising storm., the word ""<nonce>"" is defined as",0.0,0.2777777777777778,0.5822679996490479
a knot used to fasten a rope temporarily to an object; usually tied double,half hitch,"""a person who is not a member of a particular group or class.""
The word ""discrimination"" is defined as ""the action","['Expertly, the sailor tied a quick <nonce> to secure the rope to the dock post.']","The word ""<nonce>"" is defined as",0.0,0.11428571428571427,0.4080300033092499
having more than one husband at a time,polyandry,"""the act of marrying a person of the same sex.""
The word ""marriage"" is defined as ""the act of marrying a","['In the remote highlands of Tibet, traditional forms of <nonce> still dictate familial structures and inheritance laws.']","Given the following examples: In the remote highlands of Tibet, traditional forms of <nonce> still dictate familial structures and inheritance laws., the word ""<nonce>"" is defined as",0.0,0.06896551724137931,0.4214344024658203
having more than one husband at a time,polyandry,"""the act of abandoning or forsaking a person or thing."" The word ""abandon"" is defined as ""to leave or fors","['In the matriarchal society of the Mosuo, a form of <nonce> is practiced, with women having multiple male partners without the constraints of traditional marriage.']","The word ""<nonce>"" is defined as",0.0,0.07142857142857144,0.34555813670158386
(American football) blocking a player's path with your body,interference,"""a sudden, violent disturbance of the normal course of events.""
The word ""stare"" is defined as ""to look at steadily","['During the televised soccer match, the sudden storm caused an <nonce> that disrupted the satellite signal, leaving thousands of viewers staring at a fuzzy screen.']","Given the following examples: During the televised soccer match, the sudden storm caused an <nonce> that disrupted the satellite signal, leaving thousands of viewers staring at a fuzzy screen., the word ""<nonce>"" is defined as",0.0,0.06666666666666667,0.43100467324256897
(American football) blocking a player's path with your body,interference,"""a state of extreme mental or emotional agitation.""
The word ""agitation"" is defined as ""a state of mental or emotional","['Despite the relentless <nonce> of the chattering crows, the owls managed to hunt undeterred under the silvery moonlight.']","The word ""<nonce>"" is defined as",0.0,0.06666666666666667,0.3759457767009735
the time period between dawn and noon,morning,"""the first blush of dawn."" The word ""blush"" is defined as ""the first blush of dawn."" The word ""dawn""","['As the first blush of <nonce> kissed the sky, a chorus of birdsong erupted, serenading the dawn with joyous melody.']","Given the following examples: As the first blush of <nonce> kissed the sky, a chorus of birdsong erupted, serenading the dawn with joyous melody., the word ""<nonce>"" is defined as",0.0,0.15384615384615385,0.3813447952270508
the time period between dawn and noon,morning,"""a person who is a source of annoyance or irritation.""
The word ""annoyance"" is defined as ""a feeling","['As the first glimmers of soft light permeated the room, the <nonce> serenely embraced the world, whispering promises of new beginnings through the chirping birds and dew-kissed leaves.']","The word ""<nonce>"" is defined as",0.0,0.08,0.3702594041824341
braised chicken with onions and mushrooms in a wine and tomato sauce,chicken Marengo,"""a dish of meat, fish, or vegetables cooked in a sauce of wine, oil, and spices.""
The word","['Amidst the candlelight and soft music, she savored each bite of the <nonce>, transported to a rustic Italian villa with every herb-infused mouthful.']","Given the following examples: Amidst the candlelight and soft music, she savored each bite of the <nonce>, transported to a rustic Italian villa with every herb-infused mouthful., the word ""<nonce>"" is defined as",0.0,0.26666666666666666,0.6432928442955017
braised chicken with onions and mushrooms in a wine and tomato sauce,chicken Marengo,"""a drink made from the roasted, ground, and brewed seeds of the coffee plant.""
The word ""coffee"" is","['Amidst the gentle clinking of wine glasses and soft murmur of conversation, the mouthwatering aroma of <nonce> wafted from the kitchen, promising a delightful culinary experience to all the guests.']","The word ""<nonce>"" is defined as",0.0,0.13333333333333333,0.4674336612224579
a sudden desire,caprice,"""a sudden change for the worse.""
The sudden change in the weather dashed our hopes of a sunny picnic by the lake.
The",['The sudden <nonce> of the weather dashed our hopes of a sunny picnic by the lake.'],"Given the following examples: The sudden <nonce> of the weather dashed our hopes of a sunny picnic by the lake., the word ""<nonce>"" is defined as",0.0,0.15384615384615383,0.4781248867511749
a sudden desire,caprice,"""a feeling of intense dislike or hostility.""
The word ""dislike"" is defined as ""a feeling of not liking someone",['The sudden <nonce> of the weather dashed our hopes of a sunny picnic by the lake.'],"The word ""<nonce>"" is defined as",0.0,0.09090909090909091,0.41392236948013306
in a civil manner,civilly,"""in a calm and reasonable manner.""
The word ""despite"" is defined as ""in spite of.""
The word ""disag","['Despite their heated disagreement over politics, the two friends managed to discuss their differing opinions <nonce> over cups of coffee.']","Given the following examples: Despite their heated disagreement over politics, the two friends managed to discuss their differing opinions <nonce> over cups of coffee., the word ""<nonce>"" is defined as",0.0,0.27272727272727276,0.4960811138153076
in a civil manner,civilly,"""to make or become suitable for a particular purpose or use.""
The word ""suitable"" is defined as ""appropriate or fitting.""","['Despite their heated disagreement over the business strategy, both directors managed to discuss their views <nonce> without resorting to personal attacks.']","The word ""<nonce>"" is defined as",0.0,0.08333333333333334,0.40894579887390137
one who habitually ignores the law and does not answer court summonses,scofflaw,"""a person who habitually avoids or evades a duty, responsibility, or obligation.""
The word ""perpetually"" is defined","['Despite his charm and affability, Gerald was a notorious <nonce>, perpetually thumbing his nose at parking regulations in the city.']","Given the following examples: Despite his charm and affability, Gerald was a notorious <nonce>, perpetually thumbing his nose at parking regulations in the city., the word ""<nonce>"" is defined as",0.0,0.20689655172413793,0.5460631251335144
one who habitually ignores the law and does not answer court summonses,scofflaw,"""a person who is not a member of a particular group or class.""
The word ""racist"" is defined as ""a person who bel","['Despite his wealthy upbringing and prestigious education, he was known around town as a notorious <nonce>, always disregarding parking restrictions and ignoring fines.']","The word ""<nonce>"" is defined as",0.0,0.11428571428571427,0.42681941390037537
an Islamic judge,qadi,"""a person who is a member of a religious order, especially a Muslim religious leader.""

### 2.

The word ""","['In the bustling marketplace, amid vendors of spices and silks, the respected <nonce> listened attentively to the disputes of the townspeople, promising fair judgments based on the tenets of their faith.']","Given the following examples: In the bustling marketplace, amid vendors of spices and silks, the respected <nonce> listened attentively to the disputes of the townspeople, promising fair judgments based on the tenets of their faith., the word ""<nonce>"" is defined as",0.0,0.0,0.4793238043785095
an Islamic judge,qadi,"""a person who is not a member of a particular group or class.""
The word ""discrimination"" is defined as ""the action","['The <nonce> listened attentively to the heated dispute before him, his face impassive as he carefully weighed each argument.']","The word ""<nonce>"" is defined as",0.0,0.0,0.32937324047088623
someone who indulges in excessive sentimentality,sentimentalist,"""having or showing a gentle, kind, or sympathetic nature.""
The word ""gruff"" is defined as ""rough or harsh","['Even though he was a gruff Navy captain, his hidden <nonce> side was revealed when he gently cradled the rescued puppy in his arms.']","Given the following examples: Even though he was a gruff Navy captain, his hidden <nonce> side was revealed when he gently cradled the rescued puppy in his arms., the word ""<nonce>"" is defined as",0.0,0.0,0.4348887801170349
someone who indulges in excessive sentimentality,sentimentalist,"""a person who is annoying or irritating.""
The word ""annoying"" is defined as ""causing annoyance or ir","['As an unabashed <nonce>, Henry kept a shoebox full of love letters, cinema tickets, and faded photographs from past relationships, each item a tangible memory of love lost and youth spent.']","The word ""<nonce>"" is defined as",0.0,0.08695652173913045,0.41867920756340027
the practical world as opposed to the academic world,real world,"""a place where people go to play games.""
The word ""gaming"" is defined as ""the act of playing games.""
The word","['Despite her extensive gaming prowess, she found it difficult to navigate the complex social dynamics of the <nonce>.']","Given the following examples: Despite her extensive gaming prowess, she found it difficult to navigate the complex social dynamics of the <nonce>., the word ""<nonce>"" is defined as",0.0,0.2,0.4390559494495392
the practical world as opposed to the academic world,real world,"""a place of refuge or safety."" The word ""sanctuary"" is defined as ""a place of refuge or safety."" The word ""sh","['Despite all his success in the virtual gaming universe, he struggled to apply those same strategic skills in the <nonce>.']","The word ""<nonce>"" is defined as",0.0,0.2,0.3931117355823517
(nautical) a portable ladder hung over the side of a vessel to give access to small boats alongside,accommodation ladder,"a ""ship's mast"".
The sailor expertly climbed the mast, carefully balancing as the ship swayed with","[""The sailor expertly climbed the <nonce>, carefully balancing as the ship swayed with the ocean's rhythm.""]","Given the following examples: The sailor expertly climbed the <nonce>, carefully balancing as the ship swayed with the ocean's rhythm., the word ""<nonce>"" is defined as",0.0,0.11428571428571428,0.4745136797428131
(nautical) a portable ladder hung over the side of a vessel to give access to small boats alongside,accommodation ladder,"""a large, heavy, and often ornate chair, especially one with a high back and arms.""
The word ""chair"" is defined",['The sailor deftly ascended the swaying <nonce> to embark on the massive ship.\n'],"The word ""<nonce>"" is defined as",0.0,0.10526315789473685,0.4605936110019684
a plate mounted on the front and back of car and bearing the car's registration number,license plate,"a small, flat, thin piece of metal or plastic that is used to write on or to make a mark on a surface.
The word","[""His eyes darted around the dimly lit parking lot, frantically trying to memorize the hastily scribbled numbers from a fleeing car's <nonce>.""]","Given the following examples: His eyes darted around the dimly lit parking lot, frantically trying to memorize the hastily scribbled numbers from a fleeing car's <nonce>., the word ""<nonce>"" is defined as",0.0,0.14285714285714282,0.4777137041091919
a plate mounted on the front and back of car and bearing the car's registration number,license plate,"""a wooden or metal frame that is used to support a picture or mirror.""
The word ""frame"" is defined as ""a structure that surr","['The glint of the setting sun flickered off the <nonce>, partially obsciving the string of letters and numbers with a warm, golden glow.']","The word ""<nonce>"" is defined as",0.0,0.09756097560975609,0.43878039717674255
a certificate saying that the holder is qualified to teach in the public schools,teaching certificate,"a ""decoration"" or ""award"" that is ""given"" to someone.
The word ""decoration"" is defined as ""","['After years of hard work and dedicated study, she proudly hung her <nonce> on the wall of her new classroom.']","Given the following examples: After years of hard work and dedicated study, she proudly hung her <nonce> on the wall of her new classroom., the word ""<nonce>"" is defined as",0.0,0.3448275862068965,0.47145184874534607
a certificate saying that the holder is qualified to teach in the public schools,teaching certificate,"""a literary work in which the style and imagery are designed to appeal to all the senses.""
The word ""poetry"" is defined","['After years of hard work and dedicated study, she proudly hung her <nonce> on the wall of her new classroom.']","The word ""<nonce>"" is defined as",0.0,0.2222222222222222,0.5300690531730652
of or relating to or including several cultures,multicultural,"""to make (something) more attractive or acceptable by adding something else.""
The word ""amalgamation"" is defined as ""the","['The food festival in the city park became a vibrant, <nonce> amalgamation of tastes, showcasing cuisines from all corners of the world.']","Given the following examples: The food festival in the city park became a vibrant, <nonce> amalgamation of tastes, showcasing cuisines from all corners of the world., the word ""<nonce>"" is defined as",0.0,0.15384615384615383,0.4010131061077118
of or relating to or including several cultures,multicultural,"""to make or become firm or solid."" The word ""mud"" is defined as ""a soft, sticky, earthy substance that","['The city buzzed with a vibrant, <nonce> tapestry of languages, foods, and traditions, creating a unique harmony of diversity.']","The word ""<nonce>"" is defined as",0.0,0.14814814814814814,0.39669689536094666
not capable of absorbing or soaking up (liquids),nonabsorbent,"""made of wood.""
The chef preferred to use wooden cutting boards to prevent any juices from the meat seeping into the material.
",['The chef preferred to use <nonce> cutting boards to prevent any juices from the meat seeping into the material.'],"Given the following examples: The chef preferred to use <nonce> cutting boards to prevent any juices from the meat seeping into the material., the word ""<nonce>"" is defined as",0.0,0.06666666666666667,0.4408706724643707
not capable of absorbing or soaking up (liquids),nonabsorbent,"""a person who is not a member of a particular group or class.""
The word ""discrimination"" is defined as ""the action","['Despite the heavy rainfall, her <nonce> jacket remained comfortably dry, protecting her from the chill.']","The word ""<nonce>"" is defined as",0.0,0.20689655172413796,0.4072555601596832
acting in bad faith; deception by pretending to entertain one set of intentions while acting under the influence of another,duplicity,"""a feeling of coldness or hostility.""
The word ""loomed"" is defined as ""to appear or seem to be large or threaten","['Her smile was warm and welcoming, but behind her eyes, a cool <nonce> loomed, making me question her true intentions.']","Given the following examples: Her smile was warm and welcoming, but behind her eyes, a cool <nonce> loomed, making me question her true intentions., the word ""<nonce>"" is defined as",0.0,0.0975609756097561,0.4623320400714874
acting in bad faith; deception by pretending to entertain one set of intentions while acting under the influence of another,duplicity,"""the act of making someone believe something that is not true.""
The word ""deception"" is defined as ""the act of deceiving someone","['Despite his charming facade, there was an undercurrent of <nonce> in his dealings that made her increasingly suspicious.']","The word ""<nonce>"" is defined as",0.0,0.14285714285714282,0.5310915112495422
ornamented with many buttons,buttony,"""showing or feeling pleasure or happiness.""
The word ""admired"" is defined as ""to look at with pleasure or approval.""",['Her eyes sparkled with a <nonce> delight as she admired her new sewing kit.'],"Given the following examples: Her eyes sparkled with a <nonce> delight as she admired her new sewing kit., the word ""<nonce>"" is defined as",0.0,0.08695652173913043,0.3076988458633423
ornamented with many buttons,buttony,"""to make (someone) feel happy and relaxed, especially by giving them a massage.""
The word ""massage"" is defined",['Her eyes sparkled with a <nonce> delight as she admired her new sewing kit.'],"The word ""<nonce>"" is defined as",0.0,0.0,0.3514776825904846
English theologian who (with John Henry Newman and John Keble) founded the Oxford movement (1800-1882),Pusey,"""a 4th-century theologian and philosopher who was the first to formulate the doctrine of the Trinity.""
The","[""In the rare book section, she gingerly opened the dusty volume of <nonce>'s theological writings, her eyes taking in the centuries-old wisdom.""]","Given the following examples: In the rare book section, she gingerly opened the dusty volume of <nonce>'s theological writings, her eyes taking in the centuries-old wisdom., the word ""<nonce>"" is defined as",0.0,0.17647058823529413,0.5611200928688049
English theologian who (with John Henry Newman and John Keble) founded the Oxford movement (1800-1882),Pusey,"""a person who is a member of a family of Scottish nobles, who were descended from the 1st Earl of Dunbar, and who","[""In the heart of Oxford, Edward <nonce>'s academic contributions left an indelible mark on the theological landscape.""]","The word ""<nonce>"" is defined as",0.0,0.10256410256410256,0.5402860045433044
region of western Asia Minor colonized by ancient Greeks,Ionia,"""a city in southern Spain on the Mediterranean coast.""
The word ""ethereal"" is defined as ""of or relating to","['Caught in the magic of the sunset, the colors danced across the skies of <nonce> with an ethereal beauty that left me speechless.']","Given the following examples: Caught in the magic of the sunset, the colors danced across the skies of <nonce> with an ethereal beauty that left me speechless., the word ""<nonce>"" is defined as",0.0,0.07142857142857142,0.43831709027290344
region of western Asia Minor colonized by ancient Greeks,Ionia,"""a place of refuge, a place of safety, a place of peace.""
The word ""sanctuary"" is defined as ""a place","['As we sailed across the sapphire waters of <nonce>, the sun painted the sky with hues of orange and purple, creating a breathtaking backdrop against the ancient ruins dotting the shoreline.']","The word ""<nonce>"" is defined as",0.0,0.06896551724137932,0.31399571895599365
of or relating to a person (or other vertebrate) having more than the normal number of digits,polydactyl,"""having a coat that is black or dark in color."" The word ""extra"" is defined as ""more than usual or expected."" The word","['The black, <nonce> feline pounced gracefully, its extra toes providing an unusual, yet effective, grip on its prey.']","Given the following examples: The black, <nonce> feline pounced gracefully, its extra toes providing an unusual, yet effective, grip on its prey., the word ""<nonce>"" is defined as",0.0,0.25,0.504557728767395
of or relating to a person (or other vertebrate) having more than the normal number of digits,polydactyl,"""a person who is annoying or irritating.""
The word ""annoying"" is defined as ""causing annoyance or ir","['The local tabby, a notable <nonce>, nonchalantly paraded her extra toes as she sauntered down the alley.']","The word ""<nonce>"" is defined as",0.0,0.23529411764705882,0.4039253890514374
common brown bat of Europe,serotine,"a ""nocturnal bird of prey"".
The word ""hunt"" is defined as ""to search for and try to catch (","['As dusk fell, the <nonce> emerged from its roost, ready to begin its nightly hunt for insects.']","Given the following examples: As dusk fell, the <nonce> emerged from its roost, ready to begin its nightly hunt for insects., the word ""<nonce>"" is defined as",0.0,0.08695652173913045,0.4093411862850189
common brown bat of Europe,serotine,"""a person who is a member of a race of people who are believed to be descended from the offspring of the union of a human female","['As the sun began to set, the <nonce> took flight, disappearing against the darkening sky.']","The word ""<nonce>"" is defined as",0.0,0.0625,0.34353920817375183
type genus of the Struthionidae: African ostriches,Struthio,"""a large, heavy-bodied, long-legged, long-tailed, nocturnal, ground-dwelling","[""As he gazed upon the vast African savannah, the biologist's attention was caught by the towering <nonce> darting swiftly across the golden grasslands.""]","Given the following examples: As he gazed upon the vast African savannah, the biologist's attention was caught by the towering <nonce> darting swiftly across the golden grasslands., the word ""<nonce>"" is defined as",0.0,0.0,0.3602498769760132
type genus of the Struthionidae: African ostriches,Struthio,"""a person who is a nuisance or pest.""
The word ""narcissist"" is defined as ""a person who is","['Trekking across the arid landscape, the biologist marveled at the rapid, graceful stride of the <nonce> that ran alongside her vehicle.']","The word ""<nonce>"" is defined as",0.0,0.08,0.3806656002998352
a fundamentalist Islamic revivalist movement generally characterized by moral conservatism and the literal interpretation of the Koran and the attempt to implement Islamic values in all aspects of life,Islamism,"""a feeling of discontent or resentment aroused by a real or supposed wrong, injustice, insult, or injury.""
","['Amidst the political turmoil, the country saw a rising wave of <nonce> that influenced its legislative and societal structure.']","Given the following examples: Amidst the political turmoil, the country saw a rising wave of <nonce> that influenced its legislative and societal structure., the word ""<nonce>"" is defined as",0.0,0.08695652173913043,0.5039132237434387
a fundamentalist Islamic revivalist movement generally characterized by moral conservatism and the literal interpretation of the Koran and the attempt to implement Islamic values in all aspects of life,Islamism,"""a person who is not a member of a particular religion, but who believes in the existence of God or a supreme being.""
The","['As a student of global politics, she was fascinated by the influence of <nonce> on the strategies and decisions of various Middle Eastern governments.']","The word ""<nonce>"" is defined as",0.0,0.1509433962264151,0.48597952723503113
become overcast,cloud over,"""to cause to be in a state of confusion or uncertainty.""
The word ""dismay"" is defined as ""to cause to feel fear","['As they settled into their weekend getaway, an unexpected argument seemed to <nonce> their celebratory mood.']","Given the following examples: As they settled into their weekend getaway, an unexpected argument seemed to <nonce> their celebratory mood., the word ""<nonce>"" is defined as",0.0,0.0,0.34080132842063904
become overcast,cloud over,"""to cause to be in a state of extreme fear or anxiety.""
The word ""fear"" is defined as ""a distressing",['The joyous occasion of their reunion began to <nonce> when old disputes resurfaced.'],"The word ""<nonce>"" is defined as",0.0,0.0,0.32206621766090393
French mathematician and astronomer who formulated the nebular hypothesis concerning the origins of the solar system and who developed the theory of probability (1749-1827),Laplace,"""of or relating to the transformation of a function or equation into another function or equation by means of a change of variables.""
The word ""","['As he studied the complex mathematical equation on the chalkboard, he realized he would have to apply <nonce> transformations to solve it.']","Given the following examples: As he studied the complex mathematical equation on the chalkboard, he realized he would have to apply <nonce> transformations to solve it., the word ""<nonce>"" is defined as",0.0,0.12,0.4621198773384094
French mathematician and astronomer who formulated the nebular hypothesis concerning the origins of the solar system and who developed the theory of probability (1749-1827),Laplace,"""a person who is a member of a group of people who are not considered to be part of the mainstream of society.""
The word ""","[""While working on his research, the scientist often referred to <nonce>'s equations to model the behavior of planetary systems.""]","The word ""<nonce>"" is defined as",0.0,0.20000000000000004,0.430153489112854
an aqueous solution of hydrogen chloride; a strongly corrosive acid,hydrochloric acid,"a ""red dye obtained from the roots of the cochineal insect.""
The word ""scientist"" is defined as ""a","['The scientist carefully added the <nonce> to the solution, watching as it transformed from a clear liquid to a deep red hue.']","Given the following examples: The scientist carefully added the <nonce> to the solution, watching as it transformed from a clear liquid to a deep red hue., the word ""<nonce>"" is defined as",0.0,0.14285714285714285,0.47014549374580383
an aqueous solution of hydrogen chloride; a strongly corrosive acid,hydrochloric acid,"""a substance that is used to make something more attractive or to make it last longer.""
The word ""sustainable"" is","['With caution, she poured the <nonce> into the beaker, watching as it sizzled and bubbled upon contact with the other substance.']","The word ""<nonce>"" is defined as",0.0,0.06666666666666667,0.433361291885376
a death that results from a wrongful act or from negligence; a death that can serve as the basis for a civil action for damages on behalf of the dead person's family or heirs,wrongful death,"""the act of causing someone to suffer or feel pain.""
The word ""compensation"" is defined as ""the act of making amends","[""After a long emotional trial, the jury finally awarded the grieving family millions in compensation for their son's <nonce>.""]","Given the following examples: After a long emotional trial, the jury finally awarded the grieving family millions in compensation for their son's <nonce>., the word ""<nonce>"" is defined as",0.0,0.17857142857142855,0.45456069707870483
a death that results from a wrongful act or from negligence; a death that can serve as the basis for a civil action for damages on behalf of the dead person's family or heirs,wrongful death,"""the act of a person who is in a position of authority or trust who abuses that position by taking advantage of a subordinate or dependent.""","[""In the wake of the tragic accident, the family filed a lawsuit, alleging <nonce> due to the company's blatant negligence.""]","The word ""<nonce>"" is defined as",0.0,0.19672131147540986,0.565112292766571
type genus of the Dugongidae comprising only the dugongs,genus Dugong,"a plural noun.
The marine biologist spent years studying the behavioral patterns and dietary habits of the sharks, fasc","['The marine biologist spent years studying the behavioral patterns and dietary habits of the <nonce>, fascinated by their graceful movements through the ocean and their unique, herbivorous lifestyle.']","Given the following examples: The marine biologist spent years studying the behavioral patterns and dietary habits of the <nonce>, fascinated by their graceful movements through the ocean and their unique, herbivorous lifestyle., the word ""<nonce>"" is defined as",0.0,0.14285714285714285,0.4057270288467407
type genus of the Dugongidae comprising only the dugongs,genus Dugong,"""a person who is a member of a group that is not part of the mainstream of society.""
The word ""mainstream"" is defined",['The marine biologist spent his entire career studying the behavior and migration patterns of the <nonce> in the warm coastal waters of the Indian Ocean.'],"The word ""<nonce>"" is defined as",0.0,0.18750000000000003,0.34468039870262146
United States historian (1912-1989),Tuchman,"""a 17th-century English philosopher and statesman who was a leader of the English Revolution and a founder of modern political philosophy","['""In her insightful critique, she argued with the same conviction and eloquence as <nonce> in his seminal analysis of historical events.""']","Given the following examples: ""In her insightful critique, she argued with the same conviction and eloquence as <nonce> in his seminal analysis of historical events."", the word ""<nonce>"" is defined as",0.0,0.0,0.4780093729496002
United States historian (1912-1989),Tuchman,"""a person who is a member of a family or group of families that is descended from a common ancestor.""
The word ""clan","[""After finishing my latest historical novel, I delved into <nonce>'s detailed account of World War I, captivated by her vivid interpretation of complex events.""]","The word ""<nonce>"" is defined as",0.0,0.0,0.3198174834251404
palo santo,Bulnesia,"""a sweet-smelling substance, especially one used in perfumes."" The word ""polished"" is defined as ""smooth and sh",['The rich aroma of <nonce> filled the living room as she polished the antique wooden table.'],"Given the following examples: The rich aroma of <nonce> filled the living room as she polished the antique wooden table., the word ""<nonce>"" is defined as",0.0,0.0,0.3172421157360077
palo santo,Bulnesia,"""a plant that is used to make medicine."" The word ""tea"" is defined as ""a drink made from the dried leaves of a","['The rich, woody aroma of <nonce> filled the room, instantly transporting her to the lush rainforests of South America.']","The word ""<nonce>"" is defined as",0.0,0.0,0.306344598531723
bushy-tailed phalanger,brush-tailed phalanger,"a ""large, nocturnal, arboreal marsupial of Australia and Tasmania, with a long, prehensile tail","['As twilight descended over the lush Australian forest, the <nonce> gracefully leaped from branch to branch, its tail swishing through the air.']","Given the following examples: As twilight descended over the lush Australian forest, the <nonce> gracefully leaped from branch to branch, its tail swishing through the air., the word ""<nonce>"" is defined as",0.0,0.0,0.46739721298217773
bushy-tailed phalanger,brush-tailed phalanger,"""a person who is a nuisance or pest.""
The word ""narcissist"" is defined as ""a person who is","['As dusk fell over the Australian outback, the quiet rustle of leaves signaled the arrival of a <nonce>, emerging from its tree hollow home in search of a nocturnal meal.']","The word ""<nonce>"" is defined as",0.0,0.0,0.38475409150123596
a race for election to the senate,senate campaign,"""a state of intense agitation or excitement.""
The word ""palpable"" is defined as ""easily felt or sensed","['The intensity of the <nonce> was palpable, with heated debates, passionate speeches, and a close race that kept the entire city on its toes.']","Given the following examples: The intensity of the <nonce> was palpable, with heated debates, passionate speeches, and a close race that kept the entire city on its toes., the word ""<nonce>"" is defined as",0.0,0.16666666666666666,0.3877756595611572
a race for election to the senate,senate campaign,"""a state of being in a place or situation that is unpleasant or dangerous.""
The word ""dangerous"" is defined as ""","['In the thick of a heated <nonce>, the city was plastered with posters endorsing both candidates, leaving no lamppost untouched.']","The word ""<nonce>"" is defined as",0.0,0.14814814814814817,0.4033881723880768
"trivial, unrewarding, tedious, dirty, and disagreeable chores",scut work,"""a state of being bored or disinterested."" The word ""disappointed"" is defined as ""to be sad or disple","['After earning his law degree, he was disappointed to find that his first year in the firm was filled with nothing but <nonce>.']","Given the following examples: After earning his law degree, he was disappointed to find that his first year in the firm was filled with nothing but <nonce>., the word ""<nonce>"" is defined as",0.0,0.0,0.4257589280605316
"trivial, unrewarding, tedious, dirty, and disagreeable chores",scut work,"""a person who is not a member of a particular group or class.""
The word ""discrimination"" is defined as ""the action","['Despite her degree and extensive experience, Marianne felt frustrated and undervalued as she was often left with the <nonce>, while her less-qualified colleagues were given high-profile projects.']","The word ""<nonce>"" is defined as",0.0,0.0,0.39098963141441345
selected or chosen for special qualifications,blue-ribbon,"a ""headdress of a horse, consisting of a headpiece and a neckpiece, worn by a knight in the Middle Ages","['After months of dedicated training and grueling competition, her jumper horse finally stood tall, donning a <nonce> on its bridle.']","Given the following examples: After months of dedicated training and grueling competition, her jumper horse finally stood tall, donning a <nonce> on its bridle., the word ""<nonce>"" is defined as",0.0,0.0,0.34557804465293884
selected or chosen for special qualifications,blue-ribbon,"""a small, thin, flexible piece of wood, metal, or plastic used for writing or drawing.""
The word ""pen"" is defined","['After months of dedicated training and grueling competition, her jumper horse finally stood tall, donning a <nonce> on its bridle.']","The word ""<nonce>"" is defined as",0.0,0.15384615384615383,0.3562394380569458
similar to Spiranthes romanzoffiana;States,western ladies' tresses,"""a small flower of the genus Dianthus, having a showy, usually fragrant, pink or white flower.""
The",['The delicate bloom of <nonce> scattered across the meadow gave an enchanting allure to the otherwise rugged landscape.'],"Given the following examples: The delicate bloom of <nonce> scattered across the meadow gave an enchanting allure to the otherwise rugged landscape., the word ""<nonce>"" is defined as",0.0,0.0,0.41684773564338684
similar to Spiranthes romanzoffiana;States,western ladies' tresses,"""a small, hard, woody fruit with a single seed."" The word ""pear"" is defined as ""a fruit with a hard,",['The delicate blooms of the <nonce> dotted the prairie landscape with their white elegance.'],"The word ""<nonce>"" is defined as",0.0,0.0,0.32543304562568665
large harmless shiny black North American snake,black rat snake,"a noun. The word ""sinuously"" is defined as an adverb. The word ""through"" is defined as a preposition.","['The <nonce> slithered sinuously through the tall grass, its slick scales glinting in the dappled sunlight.']","Given the following examples: The <nonce> slithered sinuously through the tall grass, its slick scales glinting in the dappled sunlight., the word ""<nonce>"" is defined as",0.0,0.0,0.27327409386634827
large harmless shiny black North American snake,black rat snake,"""a person who is a nuisance or pest.""
The word ""nauseous"" is defined as ""causing nausea","['As I walked through the dense woods, a <nonce> slithered swiftly over the mossy forest floor, disappearing into a thicket of ferns.']","The word ""<nonce>"" is defined as",0.0,0.0,0.298326313495636
a green andradite used as a gemstone,demantoid,"""having a green color.""
The word ""emerald"" is defined as ""a green gemstone.""
The word ""emerald""","['In her opulent jewelry box, the emerald-like sparkle of the <nonce> pendant stood out among the other gemstones.']","Given the following examples: In her opulent jewelry box, the emerald-like sparkle of the <nonce> pendant stood out among the other gemstones., the word ""<nonce>"" is defined as",0.0,0.43478260869565216,0.5324788689613342
